nombre,instrucciones,lanzamiento,unidades,previstas,edicion,estado,precio,fecha_licencia,contrato_licencia,instru
juego59,https://instruccion59.pdf,2/3/2008,400,50,1,n,200,3/24/2001,https://contrato59.pdf,instruccion59
juego60,https://instruccion60.pdf,2/3/2008,400,50,1,n,370,3/25/2001,https://contrato60.pdf,instruccion60
juego61,https://instruccion61.pdf,2/3/2008,400,50,1,n,125,3/26/2001,https://contrato61.pdf,instruccion61
juego62,https://instruccion62.pdf,2/3/2008,400,50,1,n,75,3/27/2001,https://contrato62.pdf,instruccion62
juego63,https://instruccion63.pdf,2/3/2008,400,50,1,n,100,3/28/2001,https://contrato63.pdf,instruccion63
juego64,https://instruccion64.pdf,2/3/2008,400,50,1,n,320,3/29/2001,https://contrato64.pdf,instruccion64
juego65,https://instruccion65.pdf,2/3/2008,400,50,1,n,100,3/30/2001,https://contrato65.pdf,instruccion65
juego66,https://instruccion66.pdf,2/3/2008,400,50,1,n,150,3/31/2001,https://contrato66.pdf,instruccion66
juego67,https://instruccion67.pdf,2/3/2008,400,50,1,n,200,4/1/2001,https://contrato67.pdf,instruccion67
juego68,https://instruccion68.pdf,2/3/2008,400,50,1,n,370,4/2/2001,https://contrato68.pdf,instruccion68
juego69,https://instruccion69.pdf,2/3/2008,400,50,1,n,125,4/3/2001,https://contrato69.pdf,instruccion69
juego70,https://instruccion70.pdf,2/3/2008,400,50,1,n,75,4/4/2001,https://contrato70.pdf,instruccion70
juego71,https://instruccion71.pdf,2/3/2008,400,50,1,n,100,4/5/2001,https://contrato71.pdf,instruccion71
juego72,https://instruccion72.pdf,2/3/2008,400,50,1,n,320,4/6/2001,https://contrato72.pdf,instruccion72
juego73,https://instruccion73.pdf,2/3/2008,400,50,1,n,100,4/7/2001,https://contrato73.pdf,instruccion73
juego74,https://instruccion74.pdf,2/3/2008,400,50,1,n,150,4/8/2001,https://contrato74.pdf,instruccion74
juego75,https://instruccion75.pdf,2/3/2008,400,50,1,n,200,4/9/2001,https://contrato75.pdf,instruccion75
juego76,https://instruccion76.pdf,2/3/2008,400,50,1,n,370,4/10/2001,https://contrato76.pdf,instruccion76
juego77,https://instruccion77.pdf,2/3/2008,400,50,1,n,125,4/11/2001,https://contrato77.pdf,instruccion77
juego78,https://instruccion78.pdf,2/3/2008,400,50,1,n,75,4/12/2001,https://contrato78.pdf,instruccion78
juego79,https://instruccion79.pdf,2/3/2008,400,50,1,n,100,4/13/2001,https://contrato79.pdf,instruccion79
juego80,https://instruccion80.pdf,2/3/2008,400,50,1,n,320,4/14/2001,https://contrato80.pdf,instruccion80
juego81,https://instruccion81.pdf,2/3/2008,400,50,1,n,100,4/15/2001,https://contrato81.pdf,instruccion81
juego82,https://instruccion82.pdf,2/3/2008,400,50,1,n,150,4/16/2001,https://contrato82.pdf,instruccion82
juego83,https://instruccion83.pdf,2/3/2008,400,50,1,n,200,4/17/2001,https://contrato83.pdf,instruccion83
juego84,https://instruccion84.pdf,2/3/2008,400,50,1,n,370,4/18/2001,https://contrato84.pdf,instruccion84
juego85,https://instruccion85.pdf,2/3/2008,400,50,1,n,125,4/19/2001,https://contrato85.pdf,instruccion85
juego86,https://instruccion86.pdf,2/3/2008,400,50,1,n,75,4/20/2001,https://contrato86.pdf,instruccion86
juego87,https://instruccion87.pdf,2/3/2008,400,50,1,n,100,4/21/2001,https://contrato87.pdf,instruccion87
juego88,https://instruccion88.pdf,2/3/2008,400,50,1,n,320,4/22/2001,https://contrato88.pdf,instruccion88
juego89,https://instruccion89.pdf,2/3/2008,400,50,1,n,100,4/23/2001,https://contrato89.pdf,instruccion89
juego90,https://instruccion90.pdf,2/3/2008,400,50,1,n,150,4/24/2001,https://contrato90.pdf,instruccion90
juego91,https://instruccion91.pdf,2/3/2008,400,50,1,n,200,4/25/2001,https://contrato91.pdf,instruccion91
juego92,https://instruccion92.pdf,2/3/2008,400,50,1,n,370,4/26/2001,https://contrato92.pdf,instruccion92
juego93,https://instruccion93.pdf,2/3/2008,400,50,1,n,125,4/27/2001,https://contrato93.pdf,instruccion93
juego94,https://instruccion94.pdf,2/3/2008,400,50,1,n,75,4/28/2001,https://contrato94.pdf,instruccion94
juego95,https://instruccion95.pdf,2/3/2008,400,50,1,n,100,4/29/2001,https://contrato95.pdf,instruccion95
juego96,https://instruccion96.pdf,2/3/2008,400,50,1,n,320,4/30/2001,https://contrato96.pdf,instruccion96
juego97,https://instruccion97.pdf,2/3/2008,400,50,1,n,100,5/1/2001,https://contrato97.pdf,instruccion97
juego98,https://instruccion98.pdf,2/3/2008,400,50,1,n,150,5/2/2001,https://contrato98.pdf,instruccion98
juego99,https://instruccion99.pdf,2/3/2008,400,50,1,n,200,5/3/2001,https://contrato99.pdf,instruccion99
juego100,https://instruccion100.pdf,2/3/2008,400,50,1,n,370,5/4/2001,https://contrato100.pdf,instruccion100
juego101,https://instruccion101.pdf,2/3/2008,400,50,1,n,125,5/5/2001,https://contrato101.pdf,instruccion101
juego102,https://instruccion102.pdf,2/3/2008,400,50,1,n,75,5/6/2001,https://contrato102.pdf,instruccion102
juego103,https://instruccion103.pdf,2/3/2008,400,50,1,n,100,5/7/2001,https://contrato103.pdf,instruccion103
juego104,https://instruccion104.pdf,2/3/2008,400,50,1,n,320,5/8/2001,https://contrato104.pdf,instruccion104
juego105,https://instruccion105.pdf,2/3/2008,400,50,1,n,100,5/9/2001,https://contrato105.pdf,instruccion105
juego106,https://instruccion106.pdf,2/3/2008,400,50,1,n,150,5/10/2001,https://contrato106.pdf,instruccion106
juego107,https://instruccion107.pdf,2/3/2008,400,50,1,n,200,5/11/2001,https://contrato107.pdf,instruccion107
juego108,https://instruccion108.pdf,2/3/2008,400,50,1,n,370,5/12/2001,https://contrato108.pdf,instruccion108
juego109,https://instruccion109.pdf,2/3/2008,400,50,1,n,125,5/13/2001,https://contrato109.pdf,instruccion109
juego110,https://instruccion110.pdf,2/3/2008,400,50,1,n,75,5/14/2001,https://contrato110.pdf,instruccion110
juego111,https://instruccion111.pdf,2/3/2008,400,50,1,n,100,5/15/2001,https://contrato111.pdf,instruccion111
juego112,https://instruccion112.pdf,2/3/2008,400,50,1,n,320,5/16/2001,https://contrato112.pdf,instruccion112
juego113,https://instruccion113.pdf,2/3/2008,400,50,1,n,100,5/17/2001,https://contrato113.pdf,instruccion113
juego114,https://instruccion114.pdf,2/3/2008,400,50,1,n,150,5/18/2001,https://contrato114.pdf,instruccion114
juego115,https://instruccion115.pdf,2/3/2008,400,50,1,n,200,5/19/2001,https://contrato115.pdf,instruccion115
juego116,https://instruccion116.pdf,2/3/2008,400,50,1,n,370,5/20/2001,https://contrato116.pdf,instruccion116
juego117,https://instruccion117.pdf,2/3/2008,400,50,1,n,125,5/21/2001,https://contrato117.pdf,instruccion117
juego118,https://instruccion118.pdf,2/3/2008,400,50,1,n,75,5/22/2001,https://contrato118.pdf,instruccion118
juego119,https://instruccion119.pdf,2/3/2008,400,50,1,n,100,5/23/2001,https://contrato119.pdf,instruccion119
juego120,https://instruccion120.pdf,2/3/2008,400,50,1,n,320,5/24/2001,https://contrato120.pdf,instruccion120
juego121,https://instruccion121.pdf,2/3/2008,400,50,1,n,100,5/25/2001,https://contrato121.pdf,instruccion121
juego122,https://instruccion122.pdf,2/3/2008,400,50,1,n,150,5/26/2001,https://contrato122.pdf,instruccion122
juego123,https://instruccion123.pdf,2/3/2008,400,50,1,n,200,5/27/2001,https://contrato123.pdf,instruccion123
juego124,https://instruccion124.pdf,2/3/2008,400,50,1,n,370,5/28/2001,https://contrato124.pdf,instruccion124
juego125,https://instruccion125.pdf,2/3/2008,400,50,1,n,125,5/29/2001,https://contrato125.pdf,instruccion125
juego126,https://instruccion126.pdf,2/3/2008,400,50,1,n,75,5/30/2001,https://contrato126.pdf,instruccion126
juego127,https://instruccion127.pdf,2/3/2008,400,50,1,n,100,5/31/2001,https://contrato127.pdf,instruccion127
juego128,https://instruccion128.pdf,2/3/2008,400,50,1,n,320,6/1/2001,https://contrato128.pdf,instruccion128
juego129,https://instruccion129.pdf,2/3/2008,400,50,1,n,100,6/2/2001,https://contrato129.pdf,instruccion129
juego130,https://instruccion130.pdf,2/3/2008,400,50,1,n,150,6/3/2001,https://contrato130.pdf,instruccion130
juego131,https://instruccion131.pdf,2/3/2008,400,50,1,n,200,6/4/2001,https://contrato131.pdf,instruccion131
juego132,https://instruccion132.pdf,2/3/2008,400,50,1,n,370,6/5/2001,https://contrato132.pdf,instruccion132
juego133,https://instruccion133.pdf,2/3/2008,400,50,1,n,125,6/6/2001,https://contrato133.pdf,instruccion133
juego134,https://instruccion134.pdf,2/3/2008,400,50,1,n,75,6/7/2001,https://contrato134.pdf,instruccion134
juego135,https://instruccion135.pdf,2/3/2008,400,50,1,n,100,6/8/2001,https://contrato135.pdf,instruccion135
juego136,https://instruccion136.pdf,2/3/2008,400,50,1,n,320,6/9/2001,https://contrato136.pdf,instruccion136
juego137,https://instruccion137.pdf,2/3/2008,400,50,1,n,100,6/10/2001,https://contrato137.pdf,instruccion137
juego138,https://instruccion138.pdf,2/3/2008,400,50,1,n,150,6/11/2001,https://contrato138.pdf,instruccion138
juego139,https://instruccion139.pdf,2/3/2008,400,50,1,n,200,6/12/2001,https://contrato139.pdf,instruccion139
juego140,https://instruccion140.pdf,2/3/2008,400,50,1,n,370,6/13/2001,https://contrato140.pdf,instruccion140
juego141,https://instruccion141.pdf,2/3/2008,400,50,1,n,125,6/14/2001,https://contrato141.pdf,instruccion141
juego142,https://instruccion142.pdf,2/3/2008,400,50,1,n,75,6/15/2001,https://contrato142.pdf,instruccion142
juego143,https://instruccion143.pdf,2/3/2008,400,50,1,n,100,6/16/2001,https://contrato143.pdf,instruccion143
juego144,https://instruccion144.pdf,2/3/2008,400,50,1,n,320,6/17/2001,https://contrato144.pdf,instruccion144
juego145,https://instruccion145.pdf,2/3/2008,400,50,1,n,100,6/18/2001,https://contrato145.pdf,instruccion145
juego146,https://instruccion146.pdf,2/3/2008,400,50,1,n,150,6/19/2001,https://contrato146.pdf,instruccion146
juego147,https://instruccion147.pdf,2/3/2008,400,50,1,n,200,6/20/2001,https://contrato147.pdf,instruccion147
juego148,https://instruccion148.pdf,2/3/2008,400,50,1,n,370,6/21/2001,https://contrato148.pdf,instruccion148
juego149,https://instruccion149.pdf,2/3/2008,400,50,1,n,125,6/22/2001,https://contrato149.pdf,instruccion149
juego150,https://instruccion150.pdf,2/3/2008,400,50,1,n,75,6/23/2001,https://contrato150.pdf,instruccion150
juego151,https://instruccion151.pdf,2/3/2008,400,50,1,n,100,6/24/2001,https://contrato151.pdf,instruccion151
juego152,https://instruccion152.pdf,2/3/2008,400,50,1,n,320,6/25/2001,https://contrato152.pdf,instruccion152
juego153,https://instruccion153.pdf,2/3/2008,400,50,1,n,100,6/26/2001,https://contrato153.pdf,instruccion153
juego154,https://instruccion154.pdf,2/3/2008,400,50,1,n,150,6/27/2001,https://contrato154.pdf,instruccion154
juego155,https://instruccion155.pdf,2/3/2008,400,50,1,n,200,6/28/2001,https://contrato155.pdf,instruccion155
juego156,https://instruccion156.pdf,2/3/2008,400,50,1,n,370,6/29/2001,https://contrato156.pdf,instruccion156
juego157,https://instruccion157.pdf,2/3/2008,400,50,1,n,125,6/30/2001,https://contrato157.pdf,instruccion157
juego158,https://instruccion158.pdf,2/3/2008,400,50,1,n,75,7/1/2001,https://contrato158.pdf,instruccion158
juego159,https://instruccion159.pdf,2/3/2008,400,50,1,n,100,7/2/2001,https://contrato159.pdf,instruccion159
juego160,https://instruccion160.pdf,2/3/2008,400,50,1,n,320,7/3/2001,https://contrato160.pdf,instruccion160
juego161,https://instruccion161.pdf,2/3/2008,400,50,1,n,100,7/4/2001,https://contrato161.pdf,instruccion161
juego162,https://instruccion162.pdf,2/3/2008,400,50,1,n,150,7/5/2001,https://contrato162.pdf,instruccion162
juego163,https://instruccion163.pdf,2/3/2008,400,50,1,n,200,7/6/2001,https://contrato163.pdf,instruccion163
juego164,https://instruccion164.pdf,2/3/2008,400,50,1,n,370,7/7/2001,https://contrato164.pdf,instruccion164
juego165,https://instruccion165.pdf,2/3/2008,400,50,1,n,125,7/8/2001,https://contrato165.pdf,instruccion165
juego166,https://instruccion166.pdf,2/3/2008,400,50,1,n,75,7/9/2001,https://contrato166.pdf,instruccion166
juego167,https://instruccion167.pdf,2/3/2008,400,50,1,n,100,7/10/2001,https://contrato167.pdf,instruccion167
juego168,https://instruccion168.pdf,2/3/2008,400,50,1,n,320,7/11/2001,https://contrato168.pdf,instruccion168
juego169,https://instruccion169.pdf,2/3/2008,400,50,1,n,100,7/12/2001,https://contrato169.pdf,instruccion169
juego170,https://instruccion170.pdf,2/3/2008,400,50,1,n,150,7/13/2001,https://contrato170.pdf,instruccion170
juego171,https://instruccion171.pdf,2/3/2008,400,50,1,n,200,7/14/2001,https://contrato171.pdf,instruccion171
juego172,https://instruccion172.pdf,2/3/2008,400,50,1,n,370,7/15/2001,https://contrato172.pdf,instruccion172
juego173,https://instruccion173.pdf,2/3/2008,400,50,1,n,125,7/16/2001,https://contrato173.pdf,instruccion173
juego174,https://instruccion174.pdf,2/3/2008,400,50,1,n,75,7/17/2001,https://contrato174.pdf,instruccion174
juego175,https://instruccion175.pdf,2/3/2008,400,50,1,n,100,7/18/2001,https://contrato175.pdf,instruccion175
juego176,https://instruccion176.pdf,2/3/2008,400,50,1,n,320,7/19/2001,https://contrato176.pdf,instruccion176
juego177,https://instruccion177.pdf,2/3/2008,400,50,1,n,100,7/20/2001,https://contrato177.pdf,instruccion177
juego178,https://instruccion178.pdf,2/3/2008,400,50,1,n,150,7/21/2001,https://contrato178.pdf,instruccion178
juego179,https://instruccion179.pdf,2/3/2008,400,50,1,n,200,7/22/2001,https://contrato179.pdf,instruccion179
juego180,https://instruccion180.pdf,2/3/2008,400,50,1,n,370,7/23/2001,https://contrato180.pdf,instruccion180
juego181,https://instruccion181.pdf,2/3/2008,400,50,1,n,125,7/24/2001,https://contrato181.pdf,instruccion181
juego182,https://instruccion182.pdf,2/3/2008,400,50,1,n,75,7/25/2001,https://contrato182.pdf,instruccion182
juego183,https://instruccion183.pdf,2/3/2008,400,50,1,n,100,7/26/2001,https://contrato183.pdf,instruccion183
juego184,https://instruccion184.pdf,2/3/2008,400,50,1,n,320,7/27/2001,https://contrato184.pdf,instruccion184
juego185,https://instruccion185.pdf,2/3/2008,400,50,1,n,100,7/28/2001,https://contrato185.pdf,instruccion185
juego186,https://instruccion186.pdf,2/3/2008,400,50,1,n,150,7/29/2001,https://contrato186.pdf,instruccion186
juego187,https://instruccion187.pdf,2/3/2008,400,50,1,n,200,7/30/2001,https://contrato187.pdf,instruccion187
juego188,https://instruccion188.pdf,2/3/2008,400,50,1,n,370,7/31/2001,https://contrato188.pdf,instruccion188
juego189,https://instruccion189.pdf,2/3/2008,400,50,1,n,125,8/1/2001,https://contrato189.pdf,instruccion189
juego190,https://instruccion190.pdf,2/3/2008,400,50,1,n,75,8/2/2001,https://contrato190.pdf,instruccion190
juego191,https://instruccion191.pdf,2/3/2008,400,50,1,n,100,8/3/2001,https://contrato191.pdf,instruccion191
juego192,https://instruccion192.pdf,2/3/2008,400,50,1,n,320,8/4/2001,https://contrato192.pdf,instruccion192
juego193,https://instruccion193.pdf,2/3/2008,400,50,1,n,100,8/5/2001,https://contrato193.pdf,instruccion193
juego194,https://instruccion194.pdf,2/3/2008,400,50,1,n,150,8/6/2001,https://contrato194.pdf,instruccion194
juego195,https://instruccion195.pdf,2/3/2008,400,50,1,n,200,8/7/2001,https://contrato195.pdf,instruccion195
juego196,https://instruccion196.pdf,2/3/2008,400,50,1,n,370,8/8/2001,https://contrato196.pdf,instruccion196
juego197,https://instruccion197.pdf,2/3/2008,400,50,1,n,125,8/9/2001,https://contrato197.pdf,instruccion197
juego198,https://instruccion198.pdf,2/3/2008,400,50,1,n,75,8/10/2001,https://contrato198.pdf,instruccion198
juego199,https://instruccion199.pdf,2/3/2008,400,50,1,n,100,8/11/2001,https://contrato199.pdf,instruccion199
juego200,https://instruccion200.pdf,2/3/2008,400,50,1,n,320,8/12/2001,https://contrato200.pdf,instruccion200
juego201,https://instruccion201.pdf,2/3/2008,400,50,1,n,100,8/13/2001,https://contrato201.pdf,instruccion201
juego202,https://instruccion202.pdf,2/3/2008,400,50,1,n,150,8/14/2001,https://contrato202.pdf,instruccion202
juego203,https://instruccion203.pdf,2/3/2008,400,50,1,n,200,8/15/2001,https://contrato203.pdf,instruccion203
juego204,https://instruccion204.pdf,2/3/2008,400,50,1,n,370,8/16/2001,https://contrato204.pdf,instruccion204
juego205,https://instruccion205.pdf,2/3/2008,400,50,1,n,125,8/17/2001,https://contrato205.pdf,instruccion205
juego206,https://instruccion206.pdf,2/3/2008,400,50,1,n,75,8/18/2001,https://contrato206.pdf,instruccion206
juego207,https://instruccion207.pdf,2/3/2008,400,50,1,n,100,8/19/2001,https://contrato207.pdf,instruccion207
juego208,https://instruccion208.pdf,2/3/2008,400,50,1,n,320,8/20/2001,https://contrato208.pdf,instruccion208
juego209,https://instruccion209.pdf,2/3/2008,400,50,1,n,100,8/21/2001,https://contrato209.pdf,instruccion209
juego210,https://instruccion210.pdf,2/3/2008,400,50,1,n,150,8/22/2001,https://contrato210.pdf,instruccion210
juego211,https://instruccion211.pdf,2/3/2008,400,50,1,n,200,8/23/2001,https://contrato211.pdf,instruccion211
juego212,https://instruccion212.pdf,2/3/2008,400,50,1,n,370,8/24/2001,https://contrato212.pdf,instruccion212
juego213,https://instruccion213.pdf,2/3/2008,400,50,1,n,125,8/25/2001,https://contrato213.pdf,instruccion213
juego214,https://instruccion214.pdf,2/3/2008,400,50,1,n,75,8/26/2001,https://contrato214.pdf,instruccion214
juego215,https://instruccion215.pdf,2/3/2008,400,50,1,n,100,8/27/2001,https://contrato215.pdf,instruccion215
juego216,https://instruccion216.pdf,2/3/2008,400,50,1,n,320,8/28/2001,https://contrato216.pdf,instruccion216
juego217,https://instruccion217.pdf,2/3/2008,400,50,1,n,100,8/29/2001,https://contrato217.pdf,instruccion217
juego218,https://instruccion218.pdf,2/3/2008,400,50,1,n,150,8/30/2001,https://contrato218.pdf,instruccion218
juego219,https://instruccion219.pdf,2/3/2008,400,50,1,n,200,8/31/2001,https://contrato219.pdf,instruccion219
juego220,https://instruccion220.pdf,2/3/2008,400,50,1,n,370,9/1/2001,https://contrato220.pdf,instruccion220
juego221,https://instruccion221.pdf,2/3/2008,400,50,1,n,125,9/2/2001,https://contrato221.pdf,instruccion221
juego222,https://instruccion222.pdf,2/3/2008,400,50,1,n,75,9/3/2001,https://contrato222.pdf,instruccion222
juego223,https://instruccion223.pdf,2/3/2008,400,50,1,n,100,9/4/2001,https://contrato223.pdf,instruccion223
juego224,https://instruccion224.pdf,2/3/2008,400,50,1,n,320,9/5/2001,https://contrato224.pdf,instruccion224
juego225,https://instruccion225.pdf,2/3/2008,400,50,1,n,100,9/6/2001,https://contrato225.pdf,instruccion225
juego226,https://instruccion226.pdf,2/3/2008,400,50,1,n,150,9/7/2001,https://contrato226.pdf,instruccion226
juego227,https://instruccion227.pdf,2/3/2008,400,50,1,n,200,9/8/2001,https://contrato227.pdf,instruccion227
juego228,https://instruccion228.pdf,2/3/2008,400,50,1,n,370,9/9/2001,https://contrato228.pdf,instruccion228
juego229,https://instruccion229.pdf,2/3/2008,400,50,1,n,125,9/10/2001,https://contrato229.pdf,instruccion229
juego230,https://instruccion230.pdf,2/3/2008,400,50,1,n,75,9/11/2001,https://contrato230.pdf,instruccion230
juego231,https://instruccion231.pdf,2/3/2008,400,50,1,n,100,9/12/2001,https://contrato231.pdf,instruccion231
juego232,https://instruccion232.pdf,2/3/2008,400,50,1,n,320,9/13/2001,https://contrato232.pdf,instruccion232
juego233,https://instruccion233.pdf,2/3/2008,400,50,1,n,100,9/14/2001,https://contrato233.pdf,instruccion233
juego234,https://instruccion234.pdf,2/3/2008,400,50,1,n,150,9/15/2001,https://contrato234.pdf,instruccion234
juego235,https://instruccion235.pdf,2/3/2008,400,50,1,n,200,9/16/2001,https://contrato235.pdf,instruccion235
juego236,https://instruccion236.pdf,2/3/2008,400,50,1,n,370,9/17/2001,https://contrato236.pdf,instruccion236
juego237,https://instruccion237.pdf,2/3/2008,400,50,1,n,125,9/18/2001,https://contrato237.pdf,instruccion237
juego238,https://instruccion238.pdf,2/3/2008,400,50,1,n,75,9/19/2001,https://contrato238.pdf,instruccion238
juego239,https://instruccion239.pdf,2/3/2008,400,50,1,n,100,9/20/2001,https://contrato239.pdf,instruccion239
juego240,https://instruccion240.pdf,2/3/2008,400,50,1,n,320,9/21/2001,https://contrato240.pdf,instruccion240
juego241,https://instruccion241.pdf,2/3/2008,400,50,1,n,100,9/22/2001,https://contrato241.pdf,instruccion241
juego242,https://instruccion242.pdf,2/3/2008,400,50,1,n,150,9/23/2001,https://contrato242.pdf,instruccion242
juego243,https://instruccion243.pdf,2/3/2008,400,50,1,n,200,9/24/2001,https://contrato243.pdf,instruccion243
